ID_Cliente;Idade;Genero;Estado_Civil;Escolaridade;Renda_Anual;Valor_do_Emprestimo;Prazo_do_Emprestimo;Numero_de_Dependentes;Tipo_de_Residencia;Inadimplência
87;36;F;Solteiro;Pós-Graduação;73000;15000;36;1;Apartamento Alugado;#REF!
89;-99;F;Casado;Ensino Superior;67000;16000;36;2;Casa Própria;#REF!
90;47;F;Casado;Pós-Graduação;46000;9000;24;3;Casa Própria;#REF!
91;42;M;Casado;Ensino Médio;83000;19000;48;1;Casa Própria;#REF!
94;53;F;Divorciado;Ensino Médio;78000;18000;36;2;Apartamento Próprio;#REF!
95;48;M;Casado;Pós-Graduação;71000;16000;36;3;Casa Própria;#REF!
96;43;M;Casado;Ensino Médio;64000;16000;36;3;Casa Própria;#REF!
98;33;M;Solteiro;Ensino Médio;46000;11000;24;0;Casa Própria;#REF!
100;24;M;Casado;Pós-Graduação;80000;17000;36;2;Apartamento Alugado;#REF!
101;49;M;Casado;Ensino Médio;53000;13000;36;3;Apartamento Alugado;#REF!
102;44;M;Divorciado;Pós-Graduação;42000;8000;24;1;Casa Própria;#REF!
104;34;M;Solteiro;Ensino Médio;87000;21000;48;1;Casa Alugada;#REF!
105;55;F;Divorciado;Ensino Superior;79000;16000;36;2;Casa Própria;#REF!
106;50;M;Casado;Pós-Graduação;73000;18000;36;3;Casa Alugada;#REF!
107;45;M;Casado;Ensino Médio;66000;15000;24;2;Casa Própria;#REF!
108;40;F;Divorciado;Ensino Superior;59000;13000;36;1;Casa Própria;#REF!
109;35;M;Casado;Ensino Médio;90000;22000;48;2;Apartamento Próprio;#REF!
111;51;M;Solteiro;Ensino Superior;67000;16000;36;2;Casa Própria;#REF!
112;46;F;Casado;Pós-Graduação;61000;17000;36;3;Apartamento Alugado;#REF!
113;41;M;Casado;Ensino Médio;44000;10000;24;1;Apartamento Alugado;#REF!
116;52;F;Casado;Pós-Graduação;75000;16000;36;2;Casa Alugada;#REF!
117;47;M;Casado;Ensino Médio;71000;17000;36;3;Casa Própria;#REF!
118;42;M;Casado;Ensino Médio;64000;14000;36;1;Casa Própria;#REF!
120;32;F;Solteiro;Ensino Superior;48000;11000;24;1;Apartamento Alugado;#REF!
121;53;F;Divorciado;Ensino Médio;85000;20000;48;2;Apartamento Alugado;#REF!
122;48;F;Casado;Pós-Graduação;78000;19000;36;3;Casa Própria;#REF!
123;43;M;Casado;Ensino Médio;72000;16000;36;3;Casa Própria;#REF!
125;33;F;Solteiro;Ensino Médio;63000;13000;24;0;Casa Própria;#REF!
127;54;M;Casado;Pós-Graduação;53000;10000;24;2;Apartamento Próprio;#REF!
128;49;F;Casado;Ensino Médio;86000;19000;48;3;Apartamento Alugado;#REF!
129;44;F;Divorciado;Pós-Graduação;;18000;36;1;Casa Própria;#REF!
131;34;M;Solteiro;Ensino Médio;72000;17000;36;1;Casa Alugada;#REF!
132;55;F;Divorciado;Ensino Superior;76000;15000;24;2;Casa Própria;#REF!
133;50;M;Casado;Pós-Graduação;56000;13000;36;3;Casa Alugada;#REF!
134;45;M;Casado;;41000;9000;24;2;Casa Própria;#REF!
135;40;F;Divorciado;Ensino Superior;88000;21000;48;1;Casa Própria;#REF!
136;35;F;Casado;Ensino Médio;500;20000;36;2;Apartamento Próprio;#REF!
138;51;F;Solteiro;Ensino Superior;75000;17000;36;2;Casa Própria;#REF!
139;46;F;Casado;Pós-Graduação;68000;15000;24;3;Apartamento Alugado;#REF!
140;41;M;Casado;Ensino Médio;57000;13000;36;1;Apartamento Alugado;#REF!
143;52;F;Casado;Pós-Graduação;89000;22000;48;2;Casa Alugada;#REF!
144;47;M;Casado;Ensino Médio;82000;19000;36;3;Casa Própria;#REF!
145;42;M;Casado;Ensino Médio;75000;18000;36;1;Casa Própria;#REF!
147;32;M;Solteiro;Ensino Superior;72000;17000;36;1;Apartamento Alugado;#REF!
148;53;F;Divorciado;Ensino Médio;65000;16000;36;2;Apartamento Alugado;#REF!
149;48;F;Casado;Pós-Graduação;47000;11000;24;3;Casa Própria;#REF!
150;43;F;Casado;Ensino Médio;84000;18000;36;3;Casa Própria;#REF!
152;33;M;Solteiro;Ensino Médio;76000;19000;36;0;Casa Própria;#REF!
154;54;M;Casado;Pós-Graduação;69000;17000;36;2;Apartamento Próprio;#REF!
155;49;M;Casado;Ensino Médio;62000;14000;24;3;Apartamento Alugado;#REF!
156;44;F;Divorciado;Pós-Graduação;46000;9000;24;1;Casa Própria;#REF!
158;34;F;Solteiro;Ensino Médio;86000;20000;48;1;Casa Alugada;#REF!
159;55;F;;Ensino Superior;79000;19000;36;2;Casa Própria;#REF!
160;50;M;Casado;Pós-Graduação;73000;17000;36;3;Casa Alugada;#REF!
161;45;M;Casado;Ensino Médio;63000;15000;24;2;Casa Própria;#REF!
162;40;F;Divorciado;Ensino Superior;53000;12000;36;1;Casa Própria;#REF!
163;35;M;Casado;Ensino Médio;86000;22000;48;2;Apartamento Próprio;#REF!
165;51;M;;Ensino Superior;79000;19000;36;2;Casa Própria;#REF!
166;46;F;Casado;Pós-Graduação;72000;18000;36;3;Apartamento Alugado;#REF!
167;41;F;Casado;Ensino Médio;76000;16000;24;1;Apartamento Alugado;#REF!
170;52;F;Casado;Pós-Graduação;56000;14000;36;2;Casa Alugada;#REF!
171;47;M;Casado;Ensino Médio;41000;10000;24;3;Casa Própria;#REF!
172;42;M;Casado;Ensino Médio;88000;21000;48;1;Casa Própria;#REF!
174;32;M;Solteiro;Ensino Superior;81000;20000;36;1;Apartamento Alugado;#REF!
175;53;F;Divorciado;Ensino Médio;75000;17000;36;2;Apartamento Alugado;#REF!
176;48;F;Casado;Pós-Graduação;68000;15000;24;3;Casa Própria;#REF!
177;43;M;Casado;Ensino Médio;57000;13000;36;3;Casa Própria;#REF!
179;33;F;Solteiro;Ensino Médio;89000;22000;48;0;Casa Própria;#REF!
181;54;F;Casado;Pós-Graduação;82000;19000;36;2;Apartamento Próprio;#REF!
182;49;M;Casado;Ensino Médio;75000;18000;36;3;Apartamento Alugado;#REF!
183;44;M;Divorciado;Pós-Graduação;72000;17000;36;1;Casa Própria;#REF!
185;34;M;Solteiro;Ensino Médio;65000;16000;36;1;Casa Alugada;#REF!
186;55;F;Divorciado;Ensino Superior;47000;11000;24;2;Casa Própria;#REF!
187;50;M;Casado;Pós-Graduação;84000;18000;36;3;Casa Alugada;#REF!
188;45;M;Casado;Ensino Médio;76000;19000;36;2;Casa Própria;#REF!
189;40;F;Divorciado;Ensino Superior;69000;17000;36;1;Casa Própria;#REF!
190;35;M;Casado;Ensino Médio;62000;14000;24;2;Apartamento Próprio;#REF!
192;51;F;Solteiro;Ensino Superior;46000;9000;24;2;Casa Própria;#REF!
193;46;F;Casado;Pós-Graduação;86000;20000;48;3;Apartamento Alugado;#REF!
194;41;M;Casado;Ensino Médio;79000;19000;36;1;Apartamento Alugado;#REF!
197;52;F;Casado;Pós-Graduação;73000;17000;36;2;Casa Alugada;#REF!
198;47;M;Casado;Ensino Médio;63000;15000;24;3;Casa Própria;#REF!
199;42;M;Casado;Ensino Médio;53000;12000;36;1;Casa Própria;#REF!
201;32;F;Solteiro;Ensino Superior;86000;22000;48;1;Apartamento Alugado;#REF!
202;53;F;Divorciado;Ensino Médio;79000;19000;36;2;Apartamento Alugado;#REF!
203;48;M;Casado;Pós-Graduação;72000;18000;36;3;Casa Própria;#REF!
204;43;M;Casado;Ensino Médio;76000;16000;24;3;Casa Própria;#REF!
206;33;M;Solteiro;Ensino Médio;56000;14000;36;0;Casa Própria;#REF!
208;54;M;Casado;Pós-Graduação;41000;10000;24;2;Apartamento Próprio;#REF!
209;49;F;Casado;Ensino Médio;88000;21000;48;3;Apartamento Alugado;#REF!
210;44;M;Divorciado;Pós-Graduação;81000;20000;36;1;Casa Própria;#REF!
212;34;M;Solteiro;Ensino Médio;75000;17000;36;1;Casa Alugada;#REF!
213;55;F;Divorciado;Ensino Superior;68000;15000;24;2;Casa Própria;#REF!
214;50;M;Casado;Pós-Graduação;57000;13000;36;3;Casa Alugada;#REF!
215;45;M;Casado;Ensino Médio;89000;22000;48;2;Casa Própria;#REF!
216;40;F;Divorciado;Ensino Superior;82000;19000;36;1;Casa Própria;#REF!
217;35;M;Casado;Ensino Médio;75000;18000;36;2;Apartamento Próprio;#REF!
219;51;M;Solteiro;Ensino Superior;72000;17000;36;2;Casa Própria;#REF!
220;46;F;Casado;Pós-Graduação;65000;16000;36;3;Apartamento Alugado;#REF!
221;41;F;Casado;Ensino Médio;47000;11000;24;1;Apartamento Alugado;#REF!
224;52;F;Casado;Pós-Graduação;84000;18000;36;2;Casa Alugada;#REF!
225;47;M;Casado;Ensino Médio;76000;19000;36;3;Casa Própria;#REF!
226;42;M;Casado;Ensino Médio;69000;17000;36;1;Casa Própria;#REF!
228;32;M;Solteiro;Ensino Superior;62000;14000;24;1;Apartamento Alugado;#REF!
229;53;F;Divorciado;Ensino Médio;46000;9000;24;2;Apartamento Alugado;#REF!
230;48;M;Casado;Pós-Graduação;86000;20000;48;3;Casa Própria;#REF!
231;43;M;Casado;Ensino Médio;79000;19000;36;3;Casa Própria;#REF!
233;33;M;Solteiro;Ensino Médio;73000;17000;36;0;Casa Própria;#REF!
235;54;F;Casado;Pós-Graduação;63000;15000;24;2;Apartamento Próprio;#REF!
236;49;M;Casado;Ensino Médio;53000;12000;36;3;Apartamento Alugado;#REF!
237;44;F;Divorciado;Pós-Graduação;86000;22000;48;1;Casa Própria;#REF!
239;34;M;Solteiro;Ensino Médio;79000;19000;36;1;Casa Alugada;#REF!
240;55;F;Divorciado;Ensino Superior;72000;18000;36;2;Casa Própria;#REF!
241;50;M;Casado;Pós-Graduação;76000;16000;24;3;Casa Alugada;#REF!
242;45;F;Casado;Ensino Médio;56000;14000;36;2;Casa Própria;#REF!
243;40;F;Divorciado;Ensino Superior;41000;10000;24;1;Casa Própria;#REF!
244;35;M;Casado;Ensino Médio;88000;21000;48;2;Apartamento Próprio;#REF!
246;51;M;Solteiro;Ensino Superior;81000;20000;36;2;Casa Própria;#REF!
247;46;F;Casado;Pós-Graduação;75000;17000;36;3;Apartamento Alugado;#REF!
248;41;F;Casado;Ensino Médio;68000;15000;24;1;Apartamento Alugado;#REF!
2;28;F;;Ensino Médio;57000;13000;36;0;Casa Própria;#REF!
5;33;F;Casado;Ensino Médio;89000;22000;48;1;Casa Alugada;#REF!
8;38;F;Solteiro;Pós-Graduação;82000;19000;36;0;Apartamento Alugado;#REF!
9;31;M;Solteiro;Ensino Médio;75000;18000;36;1;Apartamento Alugado;#REF!
12;29;M;Solteiro;Ensino Superior;72000;17000;36;0;Casa Alugada;#REF!
15;32;F;Solteiro;Ensino Superior;65000;16000;36;0;Apartamento Alugado;#REF!
19;30;F;Solteiro;Ensino Superior;47000;11000;24;0;Casa Alugada;#REF!
22;27;M;Solteiro;Ensino Médio;84000;18000;36;0;Casa Própria;#REF!
26;28;F;Solteiro;Ensino Superior;76000;19000;36;0;Apartamento Próprio;#REF!
30;31;F;Solteiro;Ensino Médio;69000;17000;36;0;Casa Própria;#REF!
34;35;F;Solteiro;Pós-Graduação;62000;14000;24;0;Apartamento Alugado;#REF!
38;29;M;Solteiro;Ensino Superior;46000;9000;24;0;Casa Alugada;#REF!
42;31;M;Solteiro;Pós-Graduação;86000;20000;48;0;Casa Própria;#REF!
45;38;F;Divorciado;Pós-Graduação;79000;19000;36;0;Apartamento Alugado;#REF!
46;30;F;Solteiro;Ensino Médio;73000;17000;36;1;Apartamento Alugado;#REF!
49;39;F;Solteiro;Ensino Superior;63000;15000;24;0;Casa Alugada;#REF!
51;33;M;Solteiro;Ensino Médio;53000;12000;36;0;Casa Alugada;#REF!
55;37;F;Solteiro;Casa Própria;86000;22000;48;0;Casa Própria;#REF!
56;32;M;Solteiro;Ensino Superior;79000;19000;36;1;Casa Própria;#REF!
59;43;F;Solteiro;Ensino Superior;72000;18000;36;0;Casa Alugada;#REF!
62;58;M;Solteiro;Ensino Médio;76000;16000;24;0;Casa Própria;#REF!
66;31;F;Solteiro;Ensino Superior;56000;14000;36;0;Apartamento Alugado;#REF!
71;140;F;Solteiro;Ensino Superior;41000;10000;24;0;Casa Própria;#REF!
74;29;M;Casado;Ensino Superior;88000;21000;48;0;Casa Própria;#REF!
78;39;F;Solteiro;Pós-Graduação;81000;20000;36;1;Casa Alugada;#REF!
83;30;F;Solteiro;Ensino Superior;75000;17000;36;0;Casa Própria;#REF!
88;31;M;Solteiro;Ensino Médio;68000;15000;24;0;Apartamento Alugado;#REF!
92;37;F;Solteiro;Pós-Graduação;57000;13000;36;0;Casa Própria;#REF!
93;32;F;Solteiro;Ensino Superior;89000;22000;48;1;Casa Própria;#REF!
97;38;F;Divorciado;Pós-Graduação;82000;19000;36;1;Apartamento Alugado;#REF!
99;28;F;Solteiro;Ensino Superior;75000;18000;36;0;Apartamento Próprio;#REF!
103;39;F;Solteiro;Ensino Superior;72000;17000;36;0;Casa Própria;#REF!
110;25;M;Solteiro;Pós-Graduação;65000;16000;36;0;Apartamento Alugado;#REF!
114;36;M;Solteiro;Ensino Superior;47000;11000;24;0;Casa Alugada;#REF!
115;31;F;Solteiro;Ensino Médio;84000;18000;36;0;Casa Própria;#REF!
119;37;F;Solteiro;Pós-Graduação;76000;19000;36;0;Casa Própria;#REF!
124;38;F;Divorciado;Pós-Graduação;69000;17000;36;1;Apartamento Alugado;#REF!
126;28;M;Solteiro;Ensino Superior;62000;14000;24;0;Casa Própria;#REF!
130;39;F;Solteiro;Ensino Superior;46000;9000;24;0;Casa Própria;#REF!
137;50;F;Solteiro;Pós-Graduação;86000;20000;48;0;Apartamento Alugado;#REF!
141;36;F;Solteiro;Ensino Superior;79000;19000;36;0;Casa Alugada;#REF!
142;31;M;Solteiro;Ensino Médio;73000;17000;36;0;Casa Própria;#REF!
146;37;F;Solteiro;;63000;15000;24;0;Casa Própria;#REF!
151;38;F;Divorciado;Pós-Graduação;53000;12000;36;1;Apartamento Alugado;#REF!
153;28;F;Solteiro;Ensino Superior;86000;22000;48;0;Casa Própria;#REF!
157;39;M;Solteiro;Ensino Superior;79000;19000;36;0;Casa Própria;#REF!
164;30;F;Solteiro;Pós-Graduação;72000;18000;36;0;Apartamento Alugado;#REF!
168;36;F;Solteiro;Ensino Superior;76000;16000;24;0;Casa Alugada;#REF!
169;31;F;Solteiro;Ensino Médio;56000;14000;36;0;Casa Própria;#REF!
173;37;M;Solteiro;Pós-Graduação;41000;10000;24;0;Casa Própria;#REF!
178;38;F;Divorciado;Pós-Graduação;88000;21000;48;1;Apartamento Alugado;#REF!
180;28;;Solteiro;Ensino Superior;81000;20000;36;0;Casa Própria;#REF!
184;40;F;Solteiro;Ensino Superior;75000;17000;36;0;Casa Própria;#REF!
191;30;M;Solteiro;Pós-Graduação;68000;15000;24;0;Apartamento Alugado;#REF!
195;36;F;Casado;Ensino Superior;57000;13000;36;0;Casa Alugada;#REF!
196;31;F;Solteiro;Ensino Médio;89000;22000;48;0;Casa Própria;#REF!
200;37;F;Solteiro;Pós-Graduação;82000;19000;36;0;Casa Própria;#REF!
205;38;F;Divorciado;Pós-Graduação;75000;18000;36;1;Apartamento Alugado;#REF!
207;28;F;Solteiro;Ensino Superior;72000;17000;36;0;Casa Própria;#REF!
211;39;F;Solteiro;Ensino Superior;65000;16000;36;0;Casa Própria;#REF!
218;45;M;Casado;Pós-Graduação;47000;11000;24;0;Apartamento Alugado;#REF!
222;36;M;Solteiro;Ensino Superior;84000;18000;36;0;Casa Alugada;#REF!
223;31;F;Casado;Ensino Médio;76000;19000;36;0;Casa Própria;#REF!
227;37;F;Casado;Pós-Graduação;69000;17000;36;0;Casa Própria;#REF!
232;38;;Divorciado;Pós-Graduação;62000;14000;24;1;Apartamento Alugado;#REF!
234;28;F;Casado;Ensino Superior;46000;9000;24;0;Casa Própria;#REF!
238;39;F;Solteiro;Ensino Superior;;;;0;Casa Própria;#REF!
245;30;F;Solteiro;Pós-Graduação;;;;0;Apartamento Alugado;#REF!
249;36;F;Solteiro;Ensino Superior;;;;0;Casa Alugada;#REF!
250;31;F;Solteiro;Ensino Médio;;;;0;Casa Própria;#REF!
