ID_Cliente;Idade;Genero;Estado_Civil;Escolaridade;Renda_Anual;Valor_do_Emprestimo;Prazo_do_Emprestimo;Numero_de_Dependentes;Tipo_de_Residencia;Inadimplencia
68;45;M;Casado;Pós-Graduação;78000;18000;36;2;Casa Própria;Não
69;40;F;Divorciado;Ensino Superior;71000;16000;36;1;Casa Própria;Não
70;35;M;Casado;Ensino Médio;64000;16000;36;2;Casa Própria;Não
72;49;F;Solteiro;Pós-Graduação;80000;17000;36;2;Apartamento Alugado;Não
73;34;F;Solteiro;Ensino Médio;53000;13000;36;1;Apartamento Alugado;Não
75;54;F;Casado;Ensino Superior;87000;21000;48;3;Apartamento Próprio;Não
76;49;M;Divorciado;Pós-Graduação;79000;16000;36;2;Casa Própria;Não
77;44;M;Solteiro;Ensino Médio;73000;18000;36;3;Casa Própria;Não
79;45;M;Solteiro;Ensino Médio;59000;13000;36;0;;Não
80;1;F;Divorciado;Ensino Superior;90000;22000;48;2;Casa Própria;Não
81;40;M;Casado;Ensino Médio;67000;16000;36;1;Apartamento Alugado;Não
82;35;F;Casado;Ensino Médio;61000;17000;36;2;Casa Própria;Não
84;50;F;Solteiro;Pós-Graduação;;;;3;Casa Própria;Não
85;45;F;Casado;Ensino Superior;75000;16000;36;2;Casa Alugada;Não
86;40;M;Casado;Ensino Médio;71000;17000;36;3;Casa Própria;Não
87;36;F;Solteiro;Pós-Graduação;64000;14000;36;1;Apartamento Alugado;Não
89;-99;F;Casado;Ensino Superior;85000;20000;48;2;Casa Própria;Não
90;47;F;Casado;Pós-Graduação;78000;19000;36;3;Casa Própria;Não
91;42;M;Casado;Ensino Médio;72000;16000;36;1;Casa Própria;Não
94;53;F;Divorciado;Ensino Médio;86000;19000;48;2;Apartamento Próprio;Não
95;48;M;Casado;Pós-Graduação;0;18000;36;3;Casa Própria;Não
96;43;M;Casado;Ensino Médio;72000;17000;36;3;Casa Própria;Não
98;33;M;Solteiro;Ensino Médio;56000;13000;36;0;Casa Própria;Não
100;24;M;Casado;Pós-Graduação;88000;21000;48;2;Apartamento Alugado;Não
101;49;M;Casado;Ensino Médio;500;20000;36;3;Apartamento Alugado;Sim
102;44;M;Divorciado;Pós-Graduação;75000;17000;36;1;Casa Própria;Não
104;34;M;Solteiro;Ensino Médio;57000;13000;36;1;Casa Alugada;Sim
105;55;F;Divorciado;Ensino Superior;89000;22000;48;2;Casa Própria;Não
106;50;M;Casado;Pós-Graduação;82000;19000;36;3;Casa Alugada;Não
107;45;M;Casado;Ensino Médio;75000;18000;36;2;Casa Própria;Não
108;40;F;Divorciado;Ensino Superior;72000;17000;36;1;Casa Própria;Não
109;35;M;Casado;Ensino Médio;65000;16000;36;2;Apartamento Próprio;Não
111;51;M;Solteiro;Ensino Superior;84000;18000;36;2;Casa Própria;Não
112;46;F;Casado;Pós-Graduação;76000;19000;36;3;Apartamento Alugado;Não
113;41;M;Casado;Ensino Médio;69000;17000;36;1;Apartamento Alugado;Não
116;52;F;Casado;Pós-Graduação;86000;20000;48;2;Casa Alugada;Não
117;47;M;Casado;Ensino Médio;79000;19000;36;3;Casa Própria;Sim
118;42;M;Casado;Ensino Médio;73000;17000;36;1;Casa Própria;Não
120;32;F;Solteiro;Ensino Superior;53000;12000;36;1;Apartamento Alugado;Sim
121;53;F;Divorciado;Ensino Médio;86000;22000;48;2;Apartamento Alugado;Não
122;48;F;Casado;Pós-Graduação;79000;19000;36;3;Casa Própria;Não
123;43;M;Casado;Ensino Médio;72000;18000;36;3;Casa Própria;Não
125;33;F;Solteiro;Ensino Médio;56000;14000;36;0;Casa Própria;Não
127;54;M;Casado;Pós-Graduação;88000;21000;48;2;Apartamento Próprio;Não
128;49;F;Casado;Ensino Médio;81000;20000;36;3;Apartamento Alugado;Não
129;44;F;Divorciado;Pós-Graduação;75000;17000;36;1;Casa Própria;Não
131;34;M;Solteiro;Ensino Médio;57000;13000;36;1;Casa Alugada;Não
132;55;F;Divorciado;Ensino Superior;89000;22000;48;2;Casa Própria;Não
133;50;M;Casado;Pós-Graduação;82000;19000;36;3;Casa Alugada;Não
134;45;M;Casado;;75000;18000;36;2;Casa Própria;Não
135;40;F;Divorciado;Ensino Superior;72000;17000;36;1;Casa Própria;Sim
136;35;F;Casado;Ensino Médio;65000;16000;36;2;Apartamento Próprio;Não
138;51;F;Solteiro;Ensino Superior;84000;18000;36;2;Casa Própria;Não
139;46;F;Casado;Pós-Graduação;76000;19000;36;3;Apartamento Alugado;Não
140;41;M;Casado;Ensino Médio;69000;17000;36;1;Apartamento Alugado;Não
143;52;F;Casado;Pós-Graduação;86000;20000;48;2;Casa Alugada;Não
144;47;M;Casado;Ensino Médio;79000;19000;36;3;Casa Própria;Não
145;42;M;Casado;Ensino Médio;73000;17000;36;1;Casa Própria;Não
147;32;M;Solteiro;Ensino Superior;53000;12000;36;1;Apartamento Alugado;Não
148;53;F;Divorciado;Ensino Médio;86000;22000;48;2;Apartamento Alugado;Não
149;48;F;Casado;Pós-Graduação;79000;19000;36;3;Casa Própria;Não
150;43;F;Casado;Ensino Médio;72000;18000;36;3;Casa Própria;Sim
152;33;M;Solteiro;Ensino Médio;56000;14000;36;0;Casa Própria;Não
154;54;M;Casado;Pós-Graduação;88000;21000;48;2;Apartamento Próprio;Não
155;49;M;Casado;Ensino Médio;81000;20000;36;3;Apartamento Alugado;Não
156;44;F;Divorciado;Pós-Graduação;75000;17000;36;1;Casa Própria;Não
158;34;F;Solteiro;Ensino Médio;57000;13000;36;1;Casa Alugada;Sim
159;55;F;;Ensino Superior;89000;22000;48;2;Casa Própria;Não
160;50;M;Casado;Pós-Graduação;82000;19000;36;3;Casa Alugada;Não
161;45;M;Casado;Ensino Médio;75000;18000;36;2;Casa Própria;Não
162;40;F;Divorciado;Ensino Superior;72000;17000;36;1;Casa Própria;Não
163;35;M;Casado;Ensino Médio;65000;16000;36;2;Apartamento Próprio;Não
165;51;M;;Ensino Superior;84000;18000;36;2;Casa Própria;Sim
166;46;F;Casado;Pós-Graduação;76000;19000;36;3;Apartamento Alugado;Não
167;41;F;Casado;Ensino Médio;69000;17000;36;1;Apartamento Alugado;Não
170;52;F;Casado;Pós-Graduação;86000;20000;48;2;Casa Alugada;Não
171;47;M;Casado;Ensino Médio;79000;19000;36;3;Casa Própria;Não
172;42;M;Casado;Ensino Médio;73000;17000;36;1;Casa Própria;Não
174;32;M;Solteiro;Ensino Superior;53000;12000;36;1;Apartamento Alugado;Não
175;53;F;Divorciado;Ensino Médio;86000;22000;48;2;Apartamento Alugado;Não
176;48;F;Casado;Pós-Graduação;79000;19000;36;3;Casa Própria;Não
177;43;M;Casado;Ensino Médio;72000;18000;36;3;Casa Própria;Não
179;33;F;Solteiro;Ensino Médio;56000;14000;36;0;Casa Própria;Não
181;54;F;Casado;Pós-Graduação;88000;21000;48;2;Apartamento Próprio;Não
182;49;M;Casado;Ensino Médio;81000;20000;36;3;Apartamento Alugado;Não
183;44;M;Divorciado;Pós-Graduação;75000;17000;36;1;Casa Própria;Não
185;34;M;Solteiro;Ensino Médio;57000;13000;36;1;Casa Alugada;Não
186;55;F;Divorciado;Ensino Superior;89000;22000;48;2;Casa Própria;Não
187;50;M;Casado;Pós-Graduação;82000;19000;36;3;Casa Alugada;Sim
188;45;M;Casado;Ensino Médio;75000;18000;36;2;Casa Própria;Não
189;40;F;Divorciado;Ensino Superior;72000;17000;36;1;Casa Própria;Não
190;35;M;Casado;Ensino Médio;65000;16000;36;2;Apartamento Próprio;Não
192;51;F;Solteiro;Ensino Superior;84000;18000;36;2;Casa Própria;Sim
193;46;F;Casado;Pós-Graduação;76000;19000;36;3;Apartamento Alugado;Não
194;41;M;Casado;Ensino Médio;69000;17000;36;1;Apartamento Alugado;Não
197;52;F;Casado;Pós-Graduação;86000;20000;48;2;Casa Alugada;Não
198;47;M;Casado;Ensino Médio;79000;19000;36;3;Casa Própria;Não
199;42;M;Casado;Ensino Médio;73000;17000;36;1;Casa Própria;Não
201;32;F;Solteiro;Ensino Superior;53000;12000;36;1;Apartamento Alugado;Não
202;53;F;Divorciado;Ensino Médio;86000;22000;48;2;Apartamento Alugado;Não
203;48;M;Casado;Pós-Graduação;79000;19000;36;3;Casa Própria;Sim
204;43;M;Casado;Ensino Médio;72000;18000;36;3;Casa Própria;Sim
206;33;M;Solteiro;Ensino Médio;56000;14000;36;0;Casa Própria;Não
208;54;M;Casado;Pós-Graduação;88000;21000;48;2;Apartamento Próprio;Não
209;49;F;Casado;Ensino Médio;81000;20000;36;3;Apartamento Alugado;Não
210;44;M;Divorciado;Pós-Graduação;75000;17000;36;1;Casa Própria;Não
212;34;M;Solteiro;Ensino Médio;57000;13000;36;1;Casa Alugada;Não
213;55;F;Divorciado;Ensino Superior;89000;22000;48;2;Casa Própria;Não
214;50;M;Casado;Pós-Graduação;82000;19000;36;3;Casa Alugada;Não
215;45;M;Casado;Ensino Médio;75000;18000;36;2;Casa Própria;Não
216;40;F;Divorciado;Ensino Superior;72000;17000;36;1;Casa Própria;Não
217;35;M;Casado;Ensino Médio;65000;16000;36;2;Apartamento Próprio;Não
219;51;M;Solteiro;Ensino Superior;84000;18000;36;2;Casa Própria;Não
220;46;F;Casado;Pós-Graduação;76000;19000;36;3;Apartamento Alugado;Não
221;41;F;Casado;Ensino Médio;69000;17000;36;1;Apartamento Alugado;Não
224;52;F;Casado;Pós-Graduação;86000;20000;48;2;Casa Alugada;Não
225;47;M;Casado;Ensino Médio;79000;19000;36;3;Casa Própria;Não
226;42;M;Casado;Ensino Médio;73000;17000;36;1;Casa Própria;Não
228;32;M;Solteiro;Ensino Superior;53000;12000;36;1;Apartamento Alugado;Não
229;53;F;Divorciado;Ensino Médio;86000;22000;48;2;Apartamento Alugado;Não
230;48;M;Casado;Pós-Graduação;79000;19000;36;3;Casa Própria;Não
231;43;M;Casado;Ensino Médio;72000;18000;36;3;Casa Própria;Não
233;33;M;Solteiro;Ensino Médio;56000;14000;36;0;Casa Própria;Não
235;54;F;Casado;Pós-Graduação;88000;21000;48;2;Apartamento Próprio;Não
236;49;M;Casado;Ensino Médio;81000;20000;36;3;Apartamento Alugado;Não
237;44;F;Divorciado;Pós-Graduação;75000;17000;36;1;Casa Própria;Não
239;34;M;Solteiro;Ensino Médio;57000;13000;36;1;Casa Alugada;Não
240;55;F;Divorciado;Ensino Superior;89000;22000;48;2;Casa Própria;Não
241;50;M;Casado;Pós-Graduação;82000;19000;36;3;Casa Alugada;Não
242;45;F;Casado;Ensino Médio;75000;18000;36;2;Casa Própria;Não
243;40;F;Divorciado;Ensino Superior;72000;17000;36;1;Casa Própria;Não
244;35;M;Casado;Ensino Médio;65000;16000;36;2;Apartamento Próprio;Não
246;51;M;Solteiro;Ensino Superior;84000;18000;36;2;Casa Própria;Não
247;46;F;Casado;Pós-Graduação;76000;19000;36;3;Apartamento Alugado;Não
248;41;F;Casado;Ensino Médio;69000;17000;36;1;Apartamento Alugado;Sim
2;28;F;;Ensino Médio;40000;8000;24;0;Casa Própria;Não
5;33;F;Casado;Ensino Médio;50000;9000;24;1;Casa Alugada;Sim
8;38;F;Solteiro;Pós-Graduação;55000;11000;24;0;Apartamento Alugado;Sim
9;31;M;Solteiro;Ensino Médio;48000;8500;24;1;Apartamento Alugado;Sim
12;29;M;Solteiro;Ensino Superior;42000;10000;24;0;Casa Alugada;Sim
15;32;F;Solteiro;Ensino Superior;52000;9000;24;0;Apartamento Alugado;Sim
19;30;F;Solteiro;Ensino Superior;;;;0;Casa Alugada;Sim
22;27;M;Solteiro;Ensino Médio;-50000;7000;24;0;Casa Própria;Sim
26;28;F;Solteiro;Ensino Superior;41000;9000;24;0;Apartamento Próprio;Não
30;31;F;Solteiro;Ensino Médio;47000;10000;24;0;Casa Própria;Sim
34;35;F;Solteiro;Pós-Graduação;55000;12000;24;0;Apartamento Alugado;Sim
38;29;M;Solteiro;Ensino Superior;44000;8000;24;0;Casa Alugada;Não
42;31;M;Solteiro;Pós-Graduação;49000;10000;24;0;Casa Própria;Sim
45;38;F;Divorciado;Pós-Graduação;73000;13000;24;0;Apartamento Alugado;Sim
46;30;F;Solteiro;Ensino Médio;48000;9500;24;1;Apartamento Alugado;Sim
49;39;F;Solteiro;Ensino Superior;67000;14000;24;0;Casa Alugada;Sim
51;33;M;Solteiro;Ensino Médio;45000;8500;24;0;Casa Alugada;Não
55;37;F;Solteiro;Casa Própria;63000;13000;24;0;Casa Própria;Sim
56;32;M;Solteiro;Ensino Superior;52000;10000;24;1;Casa Própria;Não
59;43;F;Solteiro;Ensino Superior;71000;14000;24;0;Casa Alugada;Sim
62;58;M;Solteiro;Ensino Médio;39000;7000;24;0;Casa Própria;Sim
66;31;F;Solteiro;Ensino Superior;46000;9000;24;0;Apartamento Alugado;Não
71;140;F;Solteiro;Ensino Superior;46000;11000;24;0;Casa Própria;Não
74;29;M;Casado;Ensino Superior;42000;8000;24;0;Casa Própria;Sim
78;39;F;Solteiro;Pós-Graduação;66000;15000;24;1;Casa Alugada;Sim
83;30;F;Solteiro;Ensino Superior;44000;10000;24;0;Casa Própria;Não
88;31;M;Solteiro;Ensino Médio;48000;11000;24;0;Apartamento Alugado;Sim
92;37;F;Solteiro;Pós-Graduação;63000;13000;24;0;Casa Própria;Sim
93;32;F;Solteiro;Ensino Superior;53000;10000;24;1;Casa Própria;Sim
97;38;F;Divorciado;Pós-Graduação;76000;15000;24;1;Apartamento Alugado;Sim
99;28;F;Solteiro;Ensino Superior;41000;9000;24;0;Apartamento Próprio;Sim
103;39;F;Solteiro;Ensino Superior;68000;15000;24;0;Casa Própria;Não
110;25;M;Solteiro;Pós-Graduação;47000;11000;24;0;Apartamento Alugado;Não
114;36;M;Solteiro;Ensino Superior;62000;14000;24;0;Casa Alugada;Não
115;31;F;Solteiro;Ensino Médio;46000;9000;24;0;Casa Própria;Sim
119;37;F;Solteiro;Pós-Graduação;63000;15000;24;0;Casa Própria;Sim
124;38;F;Divorciado;Pós-Graduação;76000;16000;24;1;Apartamento Alugado;Sim
126;28;M;Solteiro;Ensino Superior;41000;10000;24;0;Casa Própria;Sim
130;39;F;Solteiro;Ensino Superior;68000;15000;24;0;Casa Própria;Não
137;50;F;Solteiro;Pós-Graduação;47000;11000;24;0;Apartamento Alugado;Sim
141;36;F;Solteiro;Ensino Superior;62000;14000;24;0;Casa Alugada;Sim
142;31;M;Solteiro;Ensino Médio;46000;9000;24;0;Casa Própria;Sim
146;37;F;Solteiro;;63000;15000;24;0;Casa Própria;Sim
151;38;F;Divorciado;Pós-Graduação;76000;16000;24;1;Apartamento Alugado;Sim
153;28;F;Solteiro;Ensino Superior;41000;10000;24;0;Casa Própria;Sim
157;39;M;Solteiro;Ensino Superior;68000;15000;24;0;Casa Própria;Não
164;30;F;Solteiro;Pós-Graduação;47000;11000;24;0;Apartamento Alugado;Sim
168;36;F;Solteiro;Ensino Superior;62000;14000;24;0;Casa Alugada;Sim
169;31;F;Solteiro;Ensino Médio;46000;9000;24;0;Casa Própria;Não
173;37;M;Solteiro;Pós-Graduação;63000;15000;24;0;Casa Própria;Sim
178;38;F;Divorciado;Pós-Graduação;76000;16000;24;1;Apartamento Alugado;Não
180;28;;Solteiro;Ensino Superior;41000;10000;24;0;Casa Própria;Sim
184;40;F;Solteiro;Ensino Superior;68000;15000;24;0;Casa Própria;Sim
191;30;M;Solteiro;Pós-Graduação;47000;11000;24;0;Apartamento Alugado;Sim
195;36;F;Casado;Ensino Superior;62000;14000;24;0;Casa Alugada;Não
196;31;F;Solteiro;Ensino Médio;46000;9000;24;0;Casa Própria;Não
200;37;F;Solteiro;Pós-Graduação;63000;15000;24;0;Casa Própria;Sim
205;38;F;Divorciado;Pós-Graduação;76000;16000;24;1;Apartamento Alugado;Sim
207;28;F;Solteiro;Ensino Superior;41000;10000;24;0;Casa Própria;Sim
211;39;F;Solteiro;Ensino Superior;68000;15000;24;0;Casa Própria;Sim
218;45;M;Casado;Pós-Graduação;47000;11000;24;0;Apartamento Alugado;Sim
222;36;M;Solteiro;Ensino Superior;62000;14000;24;0;Casa Alugada;Não
223;31;F;Casado;Ensino Médio;46000;9000;24;0;Casa Própria;Sim
227;37;F;Casado;Pós-Graduação;63000;15000;24;0;Casa Própria;Sim
232;38;;Divorciado;Pós-Graduação;76000;16000;24;1;Apartamento Alugado;Sim
234;28;F;Casado;Ensino Superior;41000;10000;24;0;Casa Própria;Sim
238;39;F;Solteiro;Ensino Superior;68000;15000;24;0;Casa Própria;Sim
245;30;F;Solteiro;Pós-Graduação;47000;11000;24;0;Apartamento Alugado;Sim
249;36;F;Solteiro;Ensino Superior;62000;14000;24;0;Casa Alugada;Sim
250;31;F;Solteiro;Ensino Médio;46000;9000;24;0;Casa Própria;Sim
